SR750/760 - V401,ADDRESS,SETPOINT,Relay Setting Category,Info Name
Setpoint Information,019D,,USER MAP ADDRESSES,User Map Address #30
Setpoint Information,019E,,USER MAP ADDRESSES,User Map Address #31
Setpoint Information,019F,,USER MAP ADDRESSES,User Map Address #32
Setpoint Information,01A0,,USER MAP ADDRESSES,User Map Address #33
Setpoint Information,01A1,,USER MAP ADDRESSES,User Map Address #34
Setpoint Information,01A2,,USER MAP ADDRESSES,User Map Address #35
Setpoint Information,01A3,,USER MAP ADDRESSES,User Map Address #36
Setpoint Information,01A4,,USER MAP ADDRESSES,User Map Address #37
Setpoint Information,01A5,,USER MAP ADDRESSES,User Map Address #38
Setpoint Information,01A6,,USER MAP ADDRESSES,User Map Address #39
Setpoint Information,01A7,,USER MAP ADDRESSES,User Map Address #40
Setpoint Information,01A8,,USER MAP ADDRESSES,User Map Address #41
Setpoint Information,01A9,,USER MAP ADDRESSES,User Map Address #42
Setpoint Information,01AA,,USER MAP ADDRESSES,User Map Address #43
Setpoint Information,01AB,,USER MAP ADDRESSES,User Map Address #44
Setpoint Information,01AC,,USER MAP ADDRESSES,User Map Address #45
Setpoint Information,01AD,,USER MAP ADDRESSES,User Map Address #46
Setpoint Information,01AE,,USER MAP ADDRESSES,User Map Address #47
Setpoint Information,01AF,,USER MAP ADDRESSES,User Map Address #48
Setpoint Information,01B0,,USER MAP ADDRESSES,User Map Address #49
Setpoint Information,01B1,,USER MAP ADDRESSES,User Map Address #50
Setpoint Information,01B2,,USER MAP ADDRESSES,User Map Address #51
Setpoint Information,01B3,,USER MAP ADDRESSES,User Map Address #52
Setpoint Information,01B4,,USER MAP ADDRESSES,User Map Address #53
Setpoint Information,01B5,,USER MAP ADDRESSES,User Map Address #54
Setpoint Information,01B6,,USER MAP ADDRESSES,User Map Address #55
Setpoint Information,01B7,,USER MAP ADDRESSES,User Map Address #56
Setpoint Information,01B8,,USER MAP ADDRESSES,User Map Address #57
Setpoint Information,01B9,,USER MAP ADDRESSES,User Map Address #58
Setpoint Information,01BA,,USER MAP ADDRESSES,User Map Address #59
Setpoint Information,01BB,,USER MAP ADDRESSES,User Map Address #60
Setpoint Information,01BC,,USER MAP ADDRESSES,User Map Address #61
Setpoint Information,01BD,,USER MAP ADDRESSES,User Map Address #62
Setpoint Information,01BE,,USER MAP ADDRESSES,User Map Address #63
Setpoint Information,01BF,,USER MAP ADDRESSES,User Map Address #64
Setpoint Information,01C0,,USER MAP ADDRESSES,User Map Address #65
Setpoint Information,01C1,,USER MAP ADDRESSES,User Map Address #66
Setpoint Information,01C2,,USER MAP ADDRESSES,User Map Address #67
Setpoint Information,01C3,,USER MAP ADDRESSES,User Map Address #68
Setpoint Information,01C4,,USER MAP ADDRESSES,User Map Address #69
Setpoint Information,01C5,,USER MAP ADDRESSES,User Map Address #70
Setpoint Information,01C6,,USER MAP ADDRESSES,User Map Address #71
Setpoint Information,01C7,,USER MAP ADDRESSES,User Map Address #72
Setpoint Information,01C8,,USER MAP ADDRESSES,User Map Address #73
Setpoint Information,01C9,,USER MAP ADDRESSES,User Map Address #74
Setpoint Information,01CA,,USER MAP ADDRESSES,User Map Address #75
Setpoint Information,01CB,,USER MAP ADDRESSES,User Map Address #76
Setpoint Information,01CC,,USER MAP ADDRESSES,User Map Address #77
Setpoint Information,01CD,,USER MAP ADDRESSES,User Map Address #78
Setpoint Information,01CE,,USER MAP ADDRESSES,User Map Address #79
Setpoint Information,01CF,,USER MAP ADDRESSES,User Map Address #80
Setpoint Information,01D0,,USER MAP ADDRESSES,User Map Address #81
Setpoint Information,01D1,,USER MAP ADDRESSES,User Map Address #82
Setpoint Information,01D2,,USER MAP ADDRESSES,User Map Address #83
Setpoint Information,01D3,,USER MAP ADDRESSES,User Map Address #84
Setpoint Information,01D4,,USER MAP ADDRESSES,User Map Address #85
Setpoint Information,01D5,,USER MAP ADDRESSES,User Map Address #86
Setpoint Information,01D6,,USER MAP ADDRESSES,User Map Address #87
Setpoint Information,01D7,,USER MAP ADDRESSES,User Map Address #88
Setpoint Information,01D8,,USER MAP ADDRESSES,User Map Address #89
Setpoint Information,01D9,,USER MAP ADDRESSES,User Map Address #90
Setpoint Information,01DA,,USER MAP ADDRESSES,User Map Address #91
Setpoint Information,01DB,,USER MAP ADDRESSES,User Map Address #92
Setpoint Information,01DC,,USER MAP ADDRESSES,User Map Address #93
Setpoint Information,01DD,,USER MAP ADDRESSES,User Map Address #94
Setpoint Information,01DE,,USER MAP ADDRESSES,User Map Address #95
Setpoint Information,01DF,,USER MAP ADDRESSES,User Map Address #96
Setpoint Information,01E0,,USER MAP ADDRESSES,User Map Address #97
Setpoint Information,01E1,,USER MAP ADDRESSES,User Map Address #98
Setpoint Information,01E2,,USER MAP ADDRESSES,User Map Address #99
Setpoint Information,01E3,,USER MAP ADDRESSES,User Map Address #100
Setpoint Information,01E4,,USER MAP ADDRESSES,User Map Address #101
Setpoint Information,01E5,,USER MAP ADDRESSES,User Map Address #102
Setpoint Information,01E6,,USER MAP ADDRESSES,User Map Address #103
Setpoint Information,01E7,,USER MAP ADDRESSES,User Map Address #104
Setpoint Information,01E8,,USER MAP ADDRESSES,User Map Address #105
Setpoint Information,01E9,,USER MAP ADDRESSES,User Map Address #106
Setpoint Information,01EA,,USER MAP ADDRESSES,User Map Address #107
Setpoint Information,01EB,,USER MAP ADDRESSES,User Map Address #108
Setpoint Information,01EC,,USER MAP ADDRESSES,User Map Address #109
Setpoint Information,01ED,,USER MAP ADDRESSES,User Map Address #110
Setpoint Information,01EE,,USER MAP ADDRESSES,User Map Address #111
Setpoint Information,01EF,,USER MAP ADDRESSES,User Map Address #112
Setpoint Information,01F0,,USER MAP ADDRESSES,User Map Address #113
Setpoint Information,01F1,,USER MAP ADDRESSES,User Map Address #114
Setpoint Information,01F2,,USER MAP ADDRESSES,User Map Address #115
Setpoint Information,01F3,,USER MAP ADDRESSES,User Map Address #116
Setpoint Information,01F4,,USER MAP ADDRESSES,User Map Address #117
Setpoint Information,01F5,,USER MAP ADDRESSES,User Map Address #118
Setpoint Information,01F6,,USER MAP ADDRESSES,User Map Address #119
Setpoint Information,01F7,,USER MAP ADDRESSES,User Map Address #120
Setpoint Information,1000,S1,SR750/760 SETUP,Beeper
Setpoint Information,1001,S1,SR750/760 SETUP,Flash Message Time
Setpoint Information,1002,S1,SR750/760 SETUP,Default Message Timeout
Setpoint Information,1003,S1,SR750/760 SETUP,"Default Message Intensity (25, 50, 75, or100)"
Setpoint Information,1004,S1,SR750/760 SETUP,Display Filter Constant
Setpoint Information,100A,S1,SR750/760 SETUP,SR760 Operation
Setpoint Information,100B,S1,SR750/760 SETUP,IRIG-B Signal Type
Setpoint Information,1010,S1,EVENT RECORDER SETUP,Event Recorder Function
Setpoint Information,1011,S1,EVENT RECORDER SETUP,Recording of Trip Events
Setpoint Information,1012,S1,EVENT RECORDER SETUP,Recording of Alarm Events
Setpoint Information,1013,S1,EVENT RECORDER SETUP,Recording of Control Events
Setpoint Information,1014,S1,EVENT RECORDER SETUP,Recording of Logic Input Events
Setpoint Information,1015,S1,EVENT RECORDER SETUP,Recording of Pickup Events
Setpoint Information,1016,S1,EVENT RECORDER SETUP,Recording of Dropout Events
Setpoint Information,1017,S1,EVENT RECORDER SETUP,Recording of Set Time/Date Events
Setpoint Information,1018,S1,TRACE MEMORY SETUP,Buffer Organization
Setpoint Information,1019,S1,TRACE MEMORY SETUP,Trigger Position
Setpoint Information,101A,S1,TRACE MEMORY SETUP,Trigger Source
Setpoint Information,1040,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,104A,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1041,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1042,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1043,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1044,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1045,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1046,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1047,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1048,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1049,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,104B,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,104C,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,104D,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,104E,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,104F,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1050,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1051,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1052,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1053,S1,USER TEXT MESSAGES,User Text Message 1 (20 words)
Setpoint Information,1054,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1055,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1056,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1057,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1058,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1059,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,105A,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,105B,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,105C,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,105D,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,105E,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,105F,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1060,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1061,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1062,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1063,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1064,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1065,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1066,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1067,S1,USER TEXT MESSAGES,User Text Message 2 (20 words)
Setpoint Information,1068,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1069,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,106A,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,106B,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,106C,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,106D,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,106E,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,106F,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1070,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1071,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1072,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1073,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1074,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1075,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1076,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1077,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1078,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,1079,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,107A,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,107B,S1,USER TEXT MESSAGES,User Text Message 3 (20 words)
Setpoint Information,107C,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,107D,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,107E,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,107F,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1080,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1081,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1082,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1083,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1084,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1085,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1086,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1087,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1088,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1089,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,108A,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,108B,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,108C,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,108D,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,108E,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,108F,S1,USER TEXT MESSAGES,User Text Message 4 (20 words)
Setpoint Information,1090,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1091,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1092,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1093,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1094,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1095,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1096,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1097,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1098,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,1099,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,109A,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,109B,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,109C,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,109D,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,109E,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,109F,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,10A0,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,10A1,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,10A2,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,10A3,S1,USER TEXT MESSAGES,User Text Message 5 (20 words)
Setpoint Information,10E0,S1,DATA LOGGER,Sample Rate
Setpoint Information,10E1,S1,DATA LOGGER,Continuous Mode
Setpoint Information,10E2,S1,DATA LOGGER,Buffer Organization
Setpoint Information,10E3,S1,DATA LOGGER,Trigger Position
Setpoint Information,10E4,S1,DATA LOGGER,Trigger Source
Setpoint Information,10E5,S1,DATA LOGGER,Channel 1 Source
Setpoint Information,10E6,S1,DATA LOGGER,Channel 2 Source
Setpoint Information,10E7,S1,DATA LOGGER,Channel 3 Source
Setpoint Information,10E8,S1,DATA LOGGER,Channel 4 Source
Setpoint Information,10E9,S1,DATA LOGGER,Channel 5 Source
Setpoint Information,10EA,S1,DATA LOGGER,Channel 6 Source
Setpoint Information,10EB,S1,DATA LOGGER,Channel 7 Source
Setpoint Information,10EC,S1,DATA LOGGER,Channel 8 Source
Setpoint Information,10F0,S1,DNP COMMUNICATIONS,Transmission Delay
Setpoint Information,10F1,S1,DNP COMMUNICATIONS,Data Link Confirmation Mode
Setpoint Information,10F2,S1,DNP COMMUNICATIONS,Data Link Confirmation Timeout
Setpoint Information,10F3,S1,DNP COMMUNICATIONS,Data Link Confirmation Retries
Setpoint Information,10F4,S1,DNP COMMUNICATIONS,Select/Operate Arm Timer Duration
Setpoint Information,10F5,S1,DNP COMMUNICATIONS,Write Time Interval
Setpoint Information,10F6,S1,DNP COMMUNICATIONS,Inhibit Cold Restart
Setpoint Information,10F7,S1,DNP COMMUNICATIONS,3 Key Reset of Max Demand Values
Setpoint Information,1100,S2,SYSTEM SETUP,Phase CT Primary
Setpoint Information,1102,S2,SYSTEM SETUP,Ground CT Primary
Setpoint Information,1103,S2,SYSTEM SETUP,Bus VT Connection Type
Setpoint Information,1104,S2,SYSTEM SETUP,Bus Nominal VT Secondary Voltage
Setpoint Information,1105,S2,SYSTEM SETUP,Bus VT Ratio
Setpoint Information,1106,S2,SYSTEM SETUP,Nominal Frequency
Setpoint Information,1107,S2,SYSTEM SETUP,Cost of energy
Setpoint Information,1108,S2,SYSTEM SETUP,Reserved for Polarizing CT Primary
Setpoint Information,1109,S2,SYSTEM SETUP,Line VT Connection
Setpoint Information,110A,S2,SYSTEM SETUP,Line Nominal VT Secondary Voltage
Setpoint Information,110B,S2,SYSTEM SETUP,Line VT Ratio
Setpoint Information,110C,S2,SYSTEM SETUP,Phase Sequence
Setpoint Information,110D,S2,SYSTEM SETUP,Sensitive Ground CT Primary
Setpoint Information,1140,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 1 Asserted Logic
Setpoint Information,1141,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 2 Asserted Logic
Setpoint Information,1142,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 3 Asserted Logic
Setpoint Information,1143,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 4 Asserted Logic
Setpoint Information,1144,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 5  Asserted Logic
Setpoint Information,1145,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 6 Asserted Logic
Setpoint Information,1146,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 7 Asserted Logic
Setpoint Information,1147,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 8 Asserted Logic
Setpoint Information,1148,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 9 Asserted Logic
Setpoint Information,1149,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 10 Asserted Logic
Setpoint Information,114A,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 11 Asserted Logic
Setpoint Information,114B,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 12 Asserted Logic
Setpoint Information,114C,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 13 Asserted Logic
Setpoint Information,114D,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 14 Asserted Logic
Setpoint Information,114E,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 15 Asserted Logic
Setpoint Information,114F,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 16 Asserted Logic
Setpoint Information,1150,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 17 Asserted Logic
Setpoint Information,1151,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 18 Asserted Logic
Setpoint Information,1152,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 19 Asserted Logic
Setpoint Information,1153,S3,LOGIC INPUT ASSERTED LOGIC,Logic Input 20 Asserted Logic
Setpoint Information,1160,S3,BREAKER FUNCTIONS,52a Contact
Setpoint Information,1161,S3,BREAKER FUNCTIONS,52b Contact
Setpoint Information,1162,S3,BREAKER FUNCTIONS,Breaker Connected
Setpoint Information,1170,S3,CONTROL FUNCTIONS,Local Mode
Setpoint Information,1171,S3,CONTROL FUNCTIONS,Remote Reset
Setpoint Information,1172,S3,CONTROL FUNCTIONS,Remote Open
Setpoint Information,1173,S3,CONTROL FUNCTIONS,Remote Close
Setpoint Information,1174,S3,CONTROL FUNCTIONS,Cold Load Pickup
Setpoint Information,1175,S3,CONTROL FUNCTIONS,Setpoint Group 2
Setpoint Information,1176,S3,CONTROL FUNCTIONS,Setpoint Group 3
Setpoint Information,1177,S3,CONTROL FUNCTIONS,Setpoint Group 4
Setpoint Information,1180,S3,USER INPUT A,User Input A Name (9 registers)
Setpoint Information,1189,S3,USER INPUT A,User Input A Source
Setpoint Information,118A,S3,USER INPUT A,User Input A Function
Setpoint Information,118B,S3,USER INPUT A,User Input A Relays
Setpoint Information,118C,S3,USER INPUT A,User Input A Delay
Setpoint Information,1190,S3,USER INPUT B,User Input B Name (9 registers)
Setpoint Information,1199,S3,USER INPUT B,User Input B Source
Setpoint Information,119A,S3,USER INPUT B,User Input B Function
Setpoint Information,119B,S3,USER INPUT B,User Input B Relays
Setpoint Information,119C,S3,USER INPUT B,User Input B Delay
Setpoint Information,11A0,S3,USER INPUT C,User Input C Name (9 registers)
Setpoint Information,11A9,S3,USER INPUT C,User Input C Source
Setpoint Information,11AA,S3,USER INPUT C,User Input C Function
Setpoint Information,11AB,S3,USER INPUT C,User Input C Relays
Setpoint Information,11AC,S3,USER INPUT C,User Input C Delay
Setpoint Information,11B0,S3,USER INPUT D,User Input D Name (9 registers)
Setpoint Information,11B9,S3,USER INPUT D,User Input D Source
Setpoint Information,11BA,S3,USER INPUT D,User Input D Function
Setpoint Information,11BB,S3,USER INPUT D,User Input D Relays
Setpoint Information,11BC,S3,USER INPUT D,User Input D Delay
Setpoint Information,11C0,S3,USER INPUT C,User Input E Name (9 registers)
Setpoint Information,11C9,S3,USER INPUT C,User Input E Source
Setpoint Information,11CA,S3,USER INPUT C,User Input E Function
Setpoint Information,11CB,S3,USER INPUT C,User Input E Relays
Setpoint Information,11CC,S3,USER INPUT C,User Input E Delay
Setpoint Information,11D0,S3,USER INPUT F,User Input F Name (9 registers)
Setpoint Information,11D9,S3,USER INPUT F,User Input F Source
Setpoint Information,11DA,S3,USER INPUT F,User Input F Function
Setpoint Information,11DB,S3,USER INPUT F,User Input F Relays
Setpoint Information,11DC,S3,USER INPUT F,User Input F Delay
Setpoint Information,11E0,S3,USER INPUT G,User Input G Name (9 registers)
Setpoint Information,11E9,S3,USER INPUT G,User Input G Source
Setpoint Information,11EA,S3,USER INPUT G,User Input G Function
Setpoint Information,11EB,S3,USER INPUT G,User Input G Relays
Setpoint Information,11EC,S3,USER INPUT G,User Input G Delay
Setpoint Information,11F0,S3,USER INPUT H,User Input H Name (9 registers)
Setpoint Information,11F9,S3,USER INPUT H,User Input H Source
Setpoint Information,11FA,S3,USER INPUT H,User Input H Function
Setpoint Information,11FB,S3,USER INPUT H,User Input H Relays
Setpoint Information,11FC,S3,USER INPUT H,User Input H Delay
Setpoint Information,1240,S3,BLOCKING FUNCTIONS,Block 1 TRIP Relay
Setpoint Information,1241,S3,BLOCKING FUNCTIONS,Block 2 CLOSE Relay
Setpoint Information,1242,S3,BLOCKING FUNCTIONS,Block Reset
Setpoint Information,1243,S3,BLOCKING FUNCTIONS,Block Undervoltage 1
Setpoint Information,1244,S3,BLOCKING FUNCTIONS,Block Undervoltage 2
Setpoint Information,1245,S3,BLOCKING FUNCTIONS,Block Undervoltage 3
Setpoint Information,1246,S3,BLOCKING FUNCTIONS,Block Undervoltage 4
Setpoint Information,1247,S3,BLOCKING FUNCTIONS,Block Underfrequency 1
Setpoint Information,1248,S3,BLOCKING FUNCTIONS,Block Underfrequency 2
